id,ru,en,tr
contextual6,"Мы используем модель ELMo <a href=""https://rusvectores.org/ru/models/#ruwikiruscorpora_tokens_elmo_1024_2019"">ruwikiruscorpora_tokens_elmo_1024_2019</a>, чтобы сгенерировать контекстуализированные вектора для слов в вашем запросе. Затем для каждого такого вектора мы ищем наиболее похожие слова среди 10 тысяч самых частотных слов в словаре этой же модели. Поскольку в контекстуализированных моделях отсутствуют бесконтекстные вектора слов, мы сгенерировали их путём усреднения контекстных векторов каждого вхождения этих слов в обучающем корпусе модели <a href=""https://rusvectores.org/ru/models/#ruwikiruscorpora_tokens_elmo_1024_2019"">ruwikiruscorpora_tokens_elmo_1024_2019</a>.","We will use ELMo models trained on respective corpora to infer contextualized embeddings for words in your query. Then, for each embedding, our ELMoViz function will find most similar words among 10 000 most frequent other words in this model's vocabulary. Since contextualized architectures do not store non-contextual word embeddings, we generated them beforehand by averaging contextualized embeddings of all occurrences of these words in the training corpus of the ruwikiruscorpora_tokens_elmo_1024_2019 model.","ELMo ile bağlamsal Türkçe sözcük temsillerinin görselleştirilmesi, şimdilik desteklenmemektedir. Kendi modelinizi eklemek için kaynak koddan faydalanabilirsiniz: <a href=https://github.com/Turkish-Word-Embeddings/Turkish-WebVectors>Turkish WebVectors</a>"
contextual7,"Лексические подстановки иначе называются <i>парадигматические замены</i>. Это слова, которые можно было  подставить на место соответствующего слова в предложении.","Lexical substitutes are also known as <i>paradigmatic replacements</i>. These are the words which can in theory replace the corresponding word in your input sentence.", <span></span>
contextual8,"<strong>Подстановки будут меняться в зависимости от контекста</strong>, окружающего слово. Чем больше размер шрифта у подстановки, тем более уверена в ней модель.","<strong>Substitutes will change depending on the context</strong>. The larger is the substitute font size, the more certain ELMo is about this word.","<strong>Temsil vektörleri kelimenin bağlamına göre değişecektir</strong>. Çıkan kelimenin yazı tipi boyutu büyüklüğü, ELMo'nun bu kelime hakkında ne kadar emin olduğunu gösterir."
contextual9,"Выберите слой модели:","Choose the model layer:","Model katmanını seçin:"
contextual10,История лексических подстановок, Substitute queries history,Yedek sorgu geçmişi
contextual11,Английская Википедия,"English Wikipedia",İngilizce Vikipedi
contextual12,Норвежский новостной корпус,Norwegian Wikipedia and News,Norveççe Vikipedi ve Haberler
contextual13,Выберите модель:,Choose the model:,Model seç:
contextual14,Скачать модель ELMo,Download the ELMo model,ELMo modelini indir
contextual15,Модель,Model,Model
top,"Только верхний слой","Top layer only","Sadece son katman"
average,"Среднее всех слоёв","All layers averaged","Tüm katmanların ortalaması"
